Record,Date,UTC Time,SysOK,Run,Hyg,C1sRsp,C2sRsp,C3sRsp,C1sHsp,C2sHsp,C3sHsp,FsRsp,FsHsp,C1cur,C1Sp,C1f,C1al,C2cur,C2Sp,C2f,C2al,C3cur,C3Sp,C3f,C3al,Fcur,FSp,Ff,Fal,C1Vib,C2Vib,C3Vib,Est-P,Est-RC,HT1,HT2,HT3,Fire,ClDV,OpDV,DVSCl,DVSOp,LCi1,LCe1,LCi2,LCe2,LCi3,LCe3
      6205, 4/25/2014,12:55:40,1,0,1,    90,    90,    90,    70,    70,    70,    70,    60,   5.068494E+00,  -7.000122E+01,     0,     0,   4.997602E+00,  -7.000122E+01,     0,     0,   4.954450E+00,  -7.000122E+01,     0,     0,   2.562682E+01,  -5.999756E+01,     0,     0,   3.852066E+00,   3.386382E+00,   3.164843E-01,0,0,0,0,0,1,0,1,1,0,2014-04-25 12:55:00.029,2014-04-25 12:55:10.030,2014-04-25 12:55:00.022,2014-04-25 12:55:40.027,2014-04-25 12:55:00.022,2014-04-25 12:55:40.027
      6204, 4/25/2014,12:52:40,1,0,1,    90,    90,    90,    70,    70,    70,    70,    60,   5.081439E+00,  -7.000122E+01,     0,     0,   4.803418E+00,  -7.000122E+01,     0,     0,   4.893421E+00,  -7.000122E+01,     0,     0,   2.569108E+01,  -5.999756E+01,     0,     0,   3.476806E+00,   3.386382E+00,   1.401573E-01,0,0,0,0,0,1,0,1,1,0,2014-04-25 12:45:00.025,2014-04-25 12:45:10.023,2014-04-25 12:45:00.018,2014-04-25 12:45:40.018,2014-04-25 12:45:00.018,2014-04-25 12:45:40.018
      6203, 4/25/2014,12:49:40,1,0,1,    90,    90,    90,    70,    70,    70,    70,    60,   5.121509E+00,  -7.000122E+01,     0,     0,   4.764582E+00,  -7.000122E+01,     0,     0,   4.943354E+00,  -7.000122E+01,     0,     0,   2.556658E+01,  -5.999756E+01,     0,     0,   3.698345E+00,   3.232661E+00,  -7.686047E-02,0,0,0,0,0,1,0,1,1,0,2014-04-25 12:45:00.025,2014-04-25 12:45:10.023,2014-04-25 12:45:00.018,2014-04-25 12:45:40.018,2014-04-25 12:45:00.018,2014-04-25 12:45:40.018
      6202, 4/25/2014,12:46:40,1,0,1,    90,    90,    90,    70,    70,    70,    70,    60,   5.061713E+00,  -7.000122E+01,     0,     0,   4.783691E+00,  -7.000122E+01,     0,     0,   4.915613E+00,  -7.000122E+01,     0,     0,   2.572321E+01,  -5.999756E+01,     0,     0,   3.852066E+00,   3.386382E+00,   1.989330E-01,0,0,0,0,0,1,0,1,1,0,2014-04-25 12:45:00.025,2014-04-25 12:45:10.023,2014-04-25 12:45:00.018,2014-04-25 12:45:40.018,2014-04-25 12:45:00.018,2014-04-25 12:45:40.018
      6201, 4/25/2014,12:43:40,1,0,1,    90,    90,    90,    70,    70,    70,    70,    60,   5.064178E+00,  -7.000122E+01,     0,     0,   4.817596E+00,  -7.000122E+01,     0,     0,   4.936573E+00,  -7.000122E+01,     0,     0,   2.574329E+01,  -5.999756E+01,     0,     0,   3.544624E+00,   3.078940E+00,   1.130301E-01,0,0,0,0,0,1,0,1,1,0,2014-04-25 12:35:00.014,2014-04-25 12:35:10.009,2014-04-25 12:35:00.007,2014-04-25 12:35:40.002,2014-04-25 12:35:00.007,2014-04-25 12:35:40.002
      6200, 4/25/2014,12:40:40,1,0,1,    90,    90,    90,    70,    70,    70,    70,    60,   5.078974E+00,  -7.000122E+01,     0,     0,   4.805884E+00,  -7.000122E+01,     0,     0,   4.887256E+00,  -7.000122E+01,     0,     0,   2.581959E+01,  -5.999756E+01,     0,     0,   3.386382E+00,   3.078940E+00,   2.079754E-01,0,0,0,0,0,1,0,1,1,0,2014-04-25 12:35:00.014,2014-04-25 12:35:10.009,2014-04-25 12:35:00.007,2014-04-25 12:35:40.002,2014-04-25 12:35:00.007,2014-04-25 12:35:40.002
      6199, 4/25/2014,12:37:40,1,0,1,    90,    90,    90,    70,    70,    70,    70,    60,   5.117810E+00,  -7.000122E+01,     0,     0,   4.815131E+00,  -7.000122E+01,     0,     0,   4.958148E+00,  -7.000122E+01,     0,     0,   2.577542E+01,  -5.999756E+01,     0,     0,   3.318564E+00,   2.016457E+00,   3.255267E-01,0,0,0,0,0,1,0,1,1,0,2014-04-25 12:35:00.014,2014-04-25 12:35:10.009,2014-04-25 12:35:00.007,2014-04-25 12:35:40.002,2014-04-25 12:35:00.007,2014-04-25 12:35:40.002
      6198, 4/25/2014,12:34:40,1,0,1,    90,    90,    90,    70,    70,    70,    70,    60,   5.073425E+00,  -7.000122E+01,     0,     0,   4.851501E+00,  -7.000122E+01,     0,     0,   4.941504E+00,  -7.000122E+01,     0,     0,   2.570313E+01,  -5.999756E+01,     0,     0,   3.856587E+00,   2.694638E+00,   5.199385E-01,0,0,0,0,0,1,0,1,1,0,2014-04-25 12:34:40.544,2014-04-25 12:25:09.998,2014-04-25 12:34:40.544,2014-04-25 12:25:39.993,2014-04-25 12:34:40.544,2014-04-25 12:25:39.993
      6197, 4/25/2014,12:31:40,1,0,1,    90,    90,    90,    70,    70,    70,    70,    60,   5.074658E+00,  -7.000122E+01,     0,     0,   4.823145E+00,  -7.000122E+01,     0,     0,   4.934723E+00,  -7.000122E+01,     0,     0,   2.577943E+01,  -5.999756E+01,     0,     0,   3.386382E+00,   2.617777E+00,   3.752600E-01,0,0,0,0,0,1,0,1,1,0,2014-04-25 12:25:00.002,2014-04-25 12:25:09.998,2014-04-25 12:24:59.995,2014-04-25 12:25:39.993,2014-04-25 12:24:59.995,2014-04-25 12:25:39.993
      6196, 4/25/2014,12:28:40,1,0,1,    90,    90,    90,    70,    70,    70,    70,    60,   5.075891E+00,  -7.000122E+01,     0,     0,   4.814514E+00,  -7.000122E+01,     0,     0,   4.914380E+00,  -7.000122E+01,     0,     0,   2.576738E+01,  -5.999756E+01,     0,     0,   3.698345E+00,   3.060855E+00,  -3.616963E-02,0,0,0,0,0,1,0,1,1,0,2014-04-25 12:25:00.002,2014-04-25 12:25:09.998,2014-04-25 12:24:59.995,2014-04-25 12:25:39.993,2014-04-25 12:24:59.995,2014-04-25 12:25:39.993
